timestamp,pair,direction,confidence,qualityScore,strategy,entryPrice,expiryPrice,won,session,weekday,utcHour,noTradeReason,callWouldWin,putWouldWin
2026-07-15T08:22:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14248,1.14241,,London,Wed,8,"Insufficient indicator alignment",false,true
2026-07-15T08:23:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14245,1.14246,,London,Wed,8,"Insufficient indicator alignment",true,false
2026-07-15T08:24:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14243,1.14253,,London,Wed,8,"Insufficient indicator alignment",true,false
2026-07-15T08:25:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14247,1.14253,,London,Wed,8,"Insufficient indicator alignment",true,false
2026-07-15T08:26:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14251,1.14251,,London,Wed,8,"Insufficient indicator alignment",false,false
2026-07-15T08:27:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.1425,1.14238,,London,Wed,8,"Insufficient indicator alignment",false,true
2026-07-15T08:28:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14241,1.14249,,London,Wed,8,"Insufficient indicator alignment",true,false
2026-07-15T08:29:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14244,1.14259,,London,Wed,8,"Insufficient indicator alignment",true,false
2026-07-15T08:30:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14251,1.14265,,London,Wed,8,"Insufficient indicator alignment",true,false
2026-07-15T08:31:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14261,1.14263,,London,Wed,8,"Insufficient indicator alignment",true,false
2026-07-15T08:32:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14262,1.14262,,London,Wed,8,"Insufficient indicator alignment",false,false
2026-07-15T08:33:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.1426,1.14258,,London,Wed,8,"Insufficient indicator alignment",false,true
2026-07-15T08:34:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14259,1.14263,,London,Wed,8,"Insufficient indicator alignment",true,false
2026-07-15T08:35:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14261,1.14261,,London,Wed,8,"Insufficient indicator alignment",false,false
2026-07-15T08:36:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14261,1.14255,,London,Wed,8,"Insufficient indicator alignment",false,true
2026-07-15T08:37:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14259,1.14255,,London,Wed,8,"Insufficient indicator alignment",false,true
2026-07-15T08:38:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14256,1.14264,,London,Wed,8,"Insufficient indicator alignment",true,false
2026-07-15T08:39:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14259,1.14268,,London,Wed,8,"Insufficient indicator alignment",true,false
2026-07-15T08:40:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14265,1.14246,,London,Wed,8,"Insufficient indicator alignment",false,true
2026-07-15T08:41:00.000Z,EUR/USD,PUT,53,75,Range Extreme Reversion,1.14251,1.14247,true,London,Wed,8,"",,
2026-07-15T08:42:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14246,1.14255,,London,Wed,8,"Insufficient indicator alignment",true,false
2026-07-15T08:43:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14252,1.14255,,London,Wed,8,"Insufficient indicator alignment",true,false
2026-07-15T08:44:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14253,1.14248,,London,Wed,8,"Insufficient indicator alignment",false,true
2026-07-15T08:45:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.1425,1.14253,,London,Wed,8,"Insufficient indicator alignment",true,false
2026-07-15T08:46:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14251,1.14254,,London,Wed,8,"Insufficient indicator alignment",true,false
2026-07-15T08:47:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14251,1.14253,,London,Wed,8,"Insufficient indicator alignment",true,false
2026-07-15T08:48:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14252,1.14237,,London,Wed,8,"Insufficient indicator alignment",false,true
2026-07-15T08:49:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14243,1.14231,,London,Wed,8,"Insufficient indicator alignment",false,true
2026-07-15T08:50:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14237,1.1423,,London,Wed,8,"Insufficient indicator alignment",false,true
2026-07-15T08:51:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14234,1.14228,,London,Wed,8,"Insufficient indicator alignment",false,true
2026-07-15T08:52:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.1423,1.14235,,London,Wed,8,"Insufficient indicator alignment",true,false
2026-07-15T08:53:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14232,1.14223,,London,Wed,8,"Insufficient indicator alignment",false,true
2026-07-15T08:54:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14228,1.14223,,London,Wed,8,"Insufficient indicator alignment",false,true
2026-07-15T08:55:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14224,1.14224,,London,Wed,8,"Insufficient indicator alignment",false,false
2026-07-15T08:56:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14224,1.14234,,London,Wed,8,"Insufficient indicator alignment",true,false
2026-07-15T08:57:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14224,1.14241,,London,Wed,8,"Insufficient indicator alignment",true,false
2026-07-15T08:58:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14237,1.14243,,London,Wed,8,"Insufficient indicator alignment",true,false
2026-07-15T08:59:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.1424,1.14247,,London,Wed,9,"Insufficient indicator alignment",true,false
2026-07-15T09:00:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14241,1.14249,,London,Wed,9,"Insufficient indicator alignment",true,false
2026-07-15T09:01:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14246,1.14236,,London,Wed,9,"Insufficient indicator alignment",false,true
2026-07-15T09:02:00.000Z,EUR/USD,PUT,62,80,Range Extreme Reversion,1.14242,1.14227,true,London,Wed,9,"",,
2026-07-15T09:03:00.000Z,EUR/USD,PUT,64,85,Trend Corridor Breakout,1.14233,1.14219,true,London,Wed,9,"",,
2026-07-15T09:04:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.1422,1.14237,,London,Wed,9,"Insufficient indicator alignment",true,false
2026-07-15T09:05:00.000Z,EUR/USD,PUT,52,75,Trend Corridor Breakout,1.14231,1.14237,false,London,Wed,9,"",,
2026-07-15T09:06:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14235,1.14236,,London,Wed,9,"Insufficient indicator alignment",true,false
2026-07-15T09:07:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14235,1.14233,,London,Wed,9,"Insufficient indicator alignment",false,true
2026-07-15T09:08:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14233,1.14235,,London,Wed,9,"Insufficient indicator alignment",true,false
2026-07-15T09:09:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14234,1.14229,,London,Wed,9,"Insufficient indicator alignment",false,true
2026-07-15T09:10:00.000Z,EUR/USD,PUT,51,80,Trend Corridor Breakout,1.14233,1.14247,false,London,Wed,9,"",,
2026-07-15T09:11:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14239,1.14252,,London,Wed,9,"Insufficient indicator alignment",true,false
2026-07-15T09:12:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14249,1.14256,,London,Wed,9,"Insufficient indicator alignment",true,false
2026-07-15T09:13:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14247,1.14262,,London,Wed,9,"Insufficient indicator alignment",true,false
2026-07-15T09:14:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14259,1.14245,,London,Wed,9,"Insufficient indicator alignment",false,true
2026-07-15T09:15:00.000Z,EUR/USD,PUT,64,90,Range Extreme Reversion,1.14256,1.14243,true,London,Wed,9,"",,
2026-07-15T09:16:00.000Z,EUR/USD,PUT,58,90,Range Extreme Reversion,1.14248,1.1425,false,London,Wed,9,"",,
2026-07-15T09:17:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14248,1.14235,,London,Wed,9,"Insufficient indicator alignment",false,true
2026-07-15T09:18:00.000Z,EUR/USD,PUT,54,85,Range Extreme Reversion,1.14241,1.14234,true,London,Wed,9,"",,
2026-07-15T09:19:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14238,1.14229,,London,Wed,9,"Insufficient indicator alignment",false,true
2026-07-15T09:20:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14232,1.14246,,London,Wed,9,"Insufficient indicator alignment",true,false
2026-07-15T09:21:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14239,1.14249,,London,Wed,9,"Insufficient indicator alignment",true,false
2026-07-15T09:22:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14247,1.14247,,London,Wed,9,"Insufficient indicator alignment",false,false
2026-07-15T09:23:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14247,1.14244,,London,Wed,9,"Insufficient indicator alignment",false,true
2026-07-15T09:24:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14243,1.14252,,London,Wed,9,"Insufficient indicator alignment",true,false
2026-07-15T09:25:00.000Z,EUR/USD,CALL,53,80,Range Extreme Reversion,1.14249,1.14252,true,London,Wed,9,"",,
2026-07-15T09:26:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14249,1.1424,,London,Wed,9,"Insufficient indicator alignment",false,true
2026-07-15T09:27:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14245,1.14238,,London,Wed,9,"Insufficient indicator alignment",false,true
2026-07-15T09:28:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14242,1.1423,,London,Wed,9,"Insufficient indicator alignment",false,true
2026-07-15T09:29:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14235,1.14223,,London,Wed,9,"Insufficient indicator alignment",false,true
2026-07-15T09:30:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.1423,1.14222,,London,Wed,9,"Insufficient indicator alignment",false,true
2026-07-15T09:31:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14225,1.14211,,London,Wed,9,"Insufficient indicator alignment",false,true
2026-07-15T09:32:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14218,1.14194,,London,Wed,9,"Insufficient indicator alignment",false,true
2026-07-15T09:33:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14211,1.14184,,London,Wed,9,"Insufficient indicator alignment",false,true
2026-07-15T09:34:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14189,1.14191,,London,Wed,9,"Insufficient indicator alignment",true,false
2026-07-15T09:35:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14187,1.14194,,London,Wed,9,"Insufficient indicator alignment",true,false
2026-07-15T09:36:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14191,1.14197,,London,Wed,9,"Insufficient indicator alignment",true,false
2026-07-15T09:37:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14192,1.14204,,London,Wed,9,"Insufficient indicator alignment",true,false
2026-07-15T09:38:00.000Z,EUR/USD,PUT,50,75,Trend Corridor Breakout,1.14199,1.14203,false,London,Wed,9,"",,
2026-07-15T09:39:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14202,1.14203,,London,Wed,9,"Insufficient indicator alignment",true,false
